undefinedin,victory_percentage,loose_percentage,split_percentage
2c2h,Ac3d,53,46,1
2c2h,Ac3h,52,47,1
2c2h,Ac3c,50,49,1
2c2h,Ac2s,65,33,2
2c2h,Ac2d,65,33,2
2c2h,AhAc,17,83,0
2c2h,AhAd,18,82,0
2c2h,AhAs,17,82,1
2c2h,AhKc,52,48,0
2c2h,AhKh,50,49,1
2c2h,AhKd,53,47,0
2c2h,AhKs,52,47,1
2c2h,AhQc,51,48,1
2c2h,AhQh,50,50,0
2c2h,AhQd,52,47,1
2c2h,AhQs,52,47,1
2c2h,AhJc,51,48,1
2c2h,AhJh,49,50,1
2c2h,AhJd,52,48,0
2c2h,AhJs,51,48,1
2c2h,AhTc,51,48,1
2c2h,AhTh,49,51,0
2c2h,AhTd,51,48,1
2c2h,AhTs,51,48,1
2c2h,Ah9s,53,47,0
2c2h,Ah9c,52,47,1
2c2h,Ah9h,50,49,1
2c2h,Ah9d,53,47,0
2c2h,Ah8s,52,47,1
2c2h,Ah8d,52,47,1
2c2h,Ah8h,50,50,0
2c2h,Ah8c,52,47,1
2c2h,Ah7s,52,47,1
2c2h,Ah7d,52,47,1
2c2h,Ah7h,50,49,1
2c2h,Ah7c,51,48,1
2c2h,Ah6s,53,47,0
2c2h,Ah6d,53,47,0
2c2h,Ah6h,50,49,1
2c2h,Ah6c,53,47,0
2c2h,Ah5s,52,47,1
2c2h,Ah5d,52,47,1
2c2h,Ah5h,50,50,0
2c2h,Ah5c,51,48,1
2c2h,Ah4s,52,47,1
2c2h,Ah4d,52,47,1
2c2h,Ah4h,50,49,1
2c2h,Ah4c,52,47,1
2c2h,Ah3s,53,47,0
2c2h,Ah3d,53,47,0
2c2h,Ah3h,50,49,1
2c2h,Ah3c,52,47,1
2c2h,Ah2s,65,33,2
2c2h,Ah2d,65,33,2
2c2h,AdAc,17,82,1
2c2h,AdAh,18,82,0
2c2h,AdAs,18,81,1
2c2h,AdKc,52,47,1
2c2h,AdKh,52,47,1
2c2h,AdKd,50,50,0
2c2h,AdKs,53,47,0
2c2h,AdQc,52,47,1
2c2h,AdQh,52,47,1
2c2h,AdQd,49,50,1
2c2h,AdQs,52,47,1
2c2h,AdJc,52,48,0
2c2h,AdJh,51,48,1
2c2h,AdJd,49,50,1
2c2h,AdJs,52,47,1
2c2h,AdTc,51,48,1
2c2h,AdTh,51,48,1
2c2h,AdTd,49,51,0
2c2h,AdTs,52,48,0
2c2h,Ad9s,53,46,1
2c2h,Ad9c,53,47,0
2c2h,Ad9h,52,47,1
2c2h,Ad9d,50,50,0
2c2h,Ad8s,53,47,0
2c2h,Ad8d,50,50,0
2c2h,Ad8h,52,47,1
2c2h,Ad8c,52,47,1
2c2h,Ad7s,53,47,0
2c2h,Ad7d,49,50,1
2c2h,Ad7h,52,48,0
2c2h,Ad7c,52,47,1
2c2h,Ad6s,53,46,1
2c2h,Ad6d,50,49,1
2c2h,Ad6h,53,46,1
2c2h,Ad6c,53,46,1
2c2h,Ad5s,52,47,1
2c2h,Ad5d,49,50,1
2c2h,Ad5h,52,47,1
2c2h,Ad5c,52,48,0
2c2h,Ad4s,53,47,0
2c2h,Ad4d,49,50,1
2c2h,Ad4h,53,47,0
2c2h,Ad4c,52,47,1
2c2h,Ad3s,53,46,1
2c2h,Ad3d,50,49,1
2c2h,Ad3h,53,46,1
2c2h,Ad3c,53,47,0
2c2h,Ad2s,65,33,2
2c2h,Ad2d,61,37,2
2c2h,AsAc,17,82,1
2c2h,AsAh,17,82,1
2c2h,AsAd,18,81,1
2c2h,AsKc,52,47,1
2c2h,AsKh,53,47,0
2c2h,AsKd,53,47,0
2c2h,AsKs,50,50,0
2c2h,AsQc,52,47,1
2c2h,AsQh,52,48,0
2c2h,AsQd,52,47,1
2c2h,AsQs,49,50,1
2c2h,AsJc,52,48,0
2c2h,AsJh,51,48,1
2c2h,AsJd,52,47,1
2c2h,AsJs,49,50,1
2c2h,AsTc,51,48,1
2c2h,AsTh,51,48,1
2c2h,AsTd,52,48,0
2c2h,AsTs,49,51,0
2c2h,As9s,50,50,0
2c2h,As9c,52,47,1
2c2h,As9h,53,47,0
2c2h,As9d,53,47,0
2c2h,As8s,49,50,1
2c2h,As8d,52,47,1
2c2h,As8h,52,47,1
2c2h,As8c,52,47,1
2c2h,As7s,49,50,1
2c2h,As7d,52,47,1
2c2h,As7h,52,47,1
2c2h,As7c,52,47,1
2c2h,As6s,50,49,1
2c2h,As6d,53,46,1
2c2h,As6h,53,46,1
2c2h,As6c,53,47,0
2c2h,As5s,49,50,1
2c2h,As5d,52,47,1
2c2h,As5h,52,47,1
2c2h,As5c,52,47,1
2c2h,As4s,50,50,0
2c2h,As4d,53,47,0
2c2h,As4h,52,47,1
2c2h,As4c,52,47,1
2c2h,As3s,50,49,1
2c2h,As3d,53,46,1
2c2h,As3h,53,46,1
2c2h,As3c,53,47,0
2c2h,As2s,61,37,2
2c2h,As2d,65,33,2
2c2h,KcKh,17,82,1
2c2h,KcKd,18,82,0
2c2h,KcKs,18,82,0
2c2h,KcQc,49,50,1
2c2h,KcQh,50,49,1
2c2h,KcQd,51,48,1
2c2h,KcQs,51,48,1
2c2h,KcJc,48,51,1
2c2h,KcJh,50,49,1
2c2h,KcJd,51,48,1
2c2h,KcJs,50,49,1
2c2h,KcTc,48,51,1
2c2h,KcTh,49,50,1
2c2h,KcTd,50,49,1
2c2h,KcTs,50,49,1
2c2h,Kc9s,51,48,1
2c2h,Kc9c,49,50,1
2c2h,Kc9h,51,48,1
2c2h,Kc9d,52,48,0
2c2h,Kc8s,52,47,1
2c2h,Kc8d,52,47,1
2c2h,Kc8h,51,48,1
2c2h,Kc8c,50,49,1
2c2h,Kc7s,52,48,0
2c2h,Kc7d,52,48,0
2c2h,Kc7h,51,48,1
2c2h,Kc7c,49,50,1
2c2h,Kc6s,52,47,1
2c2h,Kc6d,52,47,1
2c2h,Kc6h,52,47,1
2c2h,Kc6c,49,50,1
2c2h,Kc5s,53,47,0
2c2h,Kc5d,53,46,1
2c2h,Kc5h,52,47,1
2c2h,Kc5c,50,49,1
2c2h,Kc4s,53,46,1
2c2h,Kc4d,53,46,1
2c2h,Kc4h,52,47,1
2c2h,Kc4c,50,49,1
2c2h,Kc3s,53,46,1
2c2h,Kc3d,53,46,1
2c2h,Kc3h,53,46,1
2c2h,Kc3c,51,48,1
2c2h,Kc2s,66,32,2
2c2h,Kc2d,66,32,2
2c2h,KhKc,17,82,1
2c2h,KhKd,18,81,1
2c2h,KhKs,18,81,1
2c2h,KhQc,50,49,1
2c2h,KhQh,49,50,1
2c2h,KhQd,50,49,1
2c2h,KhQs,51,48,1
2c2h,KhJc,50,49,1
2c2h,KhJh,48,51,1
2c2h,KhJd,50,49,1
2c2h,KhJs,50,49,1
2c2h,KhTc,49,50,1
2c2h,KhTh,48,52,0
2c2h,KhTd,50,49,1
2c2h,KhTs,50,49,1
2c2h,Kh9s,51,48,1
2c2h,Kh9c,51,48,1
2c2h,Kh9h,49,50,1
2c2h,Kh9d,51,48,1
2c2h,Kh8s,52,47,1
2c2h,Kh8d,52,47,1
2c2h,Kh8h,50,49,1
2c2h,Kh8c,52,47,1
2c2h,Kh7s,52,47,1
2c2h,Kh7d,52,47,1
2c2h,Kh7h,49,50,1
2c2h,Kh7c,51,48,1
2c2h,Kh6s,52,47,1
2c2h,Kh6d,52,47,1
2c2h,Kh6h,50,49,1
2c2h,Kh6c,52,47,1
2c2h,Kh5s,53,46,1
2c2h,Kh5d,53,46,1
2c2h,Kh5h,50,49,1
2c2h,Kh5c,52,47,1
2c2h,Kh4s,53,46,1
2c2h,Kh4d,53,46,1
2c2h,Kh4h,50,49,1
2c2h,Kh4c,53,46,1
2c2h,Kh3s,53,46,1
2c2h,Kh3d,53,46,1
2c2h,Kh3h,51,48,1
2c2h,Kh3c,53,46,1
2c2h,Kh2s,66,32,2
2c2h,Kh2d,66,32,2
2c2h,KdKc,18,82,0
2c2h,KdKh,18,82,0
2c2h,KdKs,19,81,0
2c2h,KdQc,51,48,1
2c2h,KdQh,51,48,1
2c2h,KdQd,48,51,1
2c2h,KdQs,51,48,1
2c2h,KdJc,50,49,1
2c2h,KdJh,50,49,1
2c2h,KdJd,47,52,1
2c2h,KdJs,51,48,1
2c2h,KdTc,50,49,1
2c2h,KdTh,50,49,1
2c2h,KdTd,48,52,0
2c2h,KdTs,51,49,0
2c2h,Kd9s,52,47,1
2c2h,Kd9c,51,48,1
2c2h,Kd9h,51,48,1
2c2h,Kd9d,49,50,1
2c2h,Kd8s,53,47,0
2c2h,Kd8d,49,50,1
2c2h,Kd8h,52,47,1
2c2h,Kd8c,52,47,1
2c2h,Kd7s,52,47,1
2c2h,Kd7d,49,50,1
2c2h,Kd7h,52,47,1
2c2h,Kd7c,52,47,1
2c2h,Kd6s,53,47,0
2c2h,Kd6d,49,50,1
2c2h,Kd6h,52,47,1
2c2h,Kd6c,52,47,1
2c2h,Kd5s,53,46,1
2c2h,Kd5d,50,49,1
2c2h,Kd5h,53,46,1
2c2h,Kd5c,53,47,0
2c2h,Kd4s,53,46,1
2c2h,Kd4d,50,49,1
2c2h,Kd4h,53,46,1
2c2h,Kd4c,53,46,1
2c2h,Kd3s,54,45,1
2c2h,Kd3d,50,49,1
2c2h,Kd3h,53,46,1
2c2h,Kd3c,53,46,1
2c2h,Kd2s,66,32,2
2c2h,Kd2d,62,36,2
2c2h,KsKc,18,81,1
2c2h,KsKh,18,81,1
2c2h,KsKd,18,81,1
2c2h,KsQc,51,48,1
2c2h,KsQh,51,48,1
2c2h,KsQd,51,48,1
2c2h,KsQs,48,51,1
2c2h,KsJc,50,49,1
2c2h,KsJh,51,49,0
2c2h,KsJd,51,48,1
2c2h,KsJs,48,51,1
2c2h,KsTc,50,49,1
2c2h,KsTh,50,49,1
2c2h,KsTd,51,48,1
2c2h,KsTs,48,52,0
2c2h,Ks9s,49,50,1
2c2h,Ks9c,51,48,1
2c2h,Ks9h,51,48,1
2c2h,Ks9d,51,48,1
2c2h,Ks8s,50,49,1
2c2h,Ks8d,53,47,0
2c2h,Ks8h,52,47,1
2c2h,Ks8c,52,47,1
2c2h,Ks7s,49,50,1
2c2h,Ks7d,52,47,1
2c2h,Ks7h,52,48,0
2c2h,Ks7c,52,47,1
2c2h,Ks6s,49,50,1
2c2h,Ks6d,53,46,1
2c2h,Ks6h,52,47,1
2c2h,Ks6c,52,47,1
2c2h,Ks5s,50,49,1
2c2h,Ks5d,53,46,1
2c2h,Ks5h,53,47,0
2c2h,Ks5c,53,46,1
2c2h,Ks4s,50,49,1
2c2h,Ks4d,53,46,1
2c2h,Ks4h,53,46,1
2c2h,Ks4c,53,46,1
2c2h,Ks3s,51,48,1
2c2h,Ks3d,54,45,1
2c2h,Ks3h,53,46,1
2c2h,Ks3c,53,46,1
2c2h,Ks2s,62,36,2
2c2h,Ks2d,66,32,2
2c2h,QcQh,17,82,1
2c2h,QcQd,18,82,0
2c2h,QcQs,18,81,1
2c2h,QcJc,47,52,1
2c2h,QcJh,49,50,1
2c2h,QcJd,49,50,1
2c2h,QcJs,49,49,2
2c2h,QcTc,47,52,1
2c2h,QcTh,48,51,1
2c2h,QcTd,49,50,1
2c2h,QcTs,49,50,1
2c2h,Qc9s,50,49,1
2c2h,Qc9c,48,51,1
2c2h,Qc9h,50,49,1
2c2h,Qc9d,50,49,1
2c2h,Qc8s,51,48,1
2c2h,Qc8d,51,48,1
2c2h,Qc8h,51,48,1
2c2h,Qc8c,49,50,1
2c2h,Qc7s,51,48,1
2c2h,Qc7d,52,47,1
2c2h,Qc7h,51,47,2
2c2h,Qc7c,50,49,1
2c2h,Qc6s,52,47,1
2c2h,Qc6d,52,47,1
2c2h,Qc6h,51,47,2
2c2h,Qc6c,50,49,1
2c2h,Qc5s,52,46,2
2c2h,Qc5d,52,46,2
2c2h,Qc5h,52,47,1
2c2h,Qc5c,50,49,1
2c2h,Qc4s,53,46,1
2c2h,Qc4d,53,46,1
2c2h,Qc4h,52,46,2
2c2h,Qc4c,50,49,1
2c2h,Qc3s,53,46,1
2c2h,Qc3d,53,46,1
2c2h,Qc3h,53,46,1
2c2h,Qc3c,51,48,1
2c2h,Qc2s,66,32,2
2c2h,Qc2d,66,32,2
2c2h,QhQc,17,82,1
2c2h,QhQd,18,82,0
2c2h,QhQs,18,82,0
2c2h,QhJc,49,50,1
2c2h,QhJh,47,52,1
2c2h,QhJd,49,49,2
2c2h,QhJs,49,50,1
2c2h,QhTc,48,51,1
2c2h,QhTh,47,52,1
2c2h,QhTd,49,50,1
2c2h,QhTs,48,50,2
2c2h,Qh9s,50,49,1
2c2h,Qh9c,50,49,1
2c2h,Qh9h,48,51,1
2c2h,Qh9d,50,49,1
2c2h,Qh8s,51,48,1
2c2h,Qh8d,51,48,1
2c2h,Qh8h,49,50,1
2c2h,Qh8c,50,48,2
2c2h,Qh7s,52,47,1
2c2h,Qh7d,52,47,1
2c2h,Qh7h,49,50,1
2c2h,Qh7c,51,48,1
2c2h,Qh6s,52,47,1
2c2h,Qh6d,52,47,1
2c2h,Qh6h,49,49,2
2c2h,Qh6c,51,47,2
2c2h,Qh5s,52,47,1
2c2h,Qh5d,52,46,2
2c2h,Qh5h,50,49,1
2c2h,Qh5c,52,47,1
2c2h,Qh4s,53,46,1
2c2h,Qh4d,52,46,2
2c2h,Qh4h,50,49,1
2c2h,Qh4c,52,46,2
2c2h,Qh3s,53,46,1
2c2h,Qh3d,53,46,1
2c2h,Qh3h,51,48,1
2c2h,Qh3c,53,46,1
2c2h,Qh2s,66,32,2
2c2h,Qh2d,66,32,2
2c2h,QdQc,18,82,0
2c2h,QdQh,18,82,0
2c2h,QdQs,19,81,0
2c2h,QdJc,49,50,1
2c2h,QdJh,50,49,1
2c2h,QdJd,47,52,1
2c2h,QdJs,50,49,1
2c2h,QdTc,49,50,1
2c2h,QdTh,49,50,1
2c2h,QdTd,46,53,1
2c2h,QdTs,49,50,1
2c2h,Qd9s,51,48,1
2c2h,Qd9c,50,49,1
2c2h,Qd9h,50,49,1
2c2h,Qd9d,48,51,1
2c2h,Qd8s,51,48,1
2c2h,Qd8d,48,51,1
2c2h,Qd8h,51,48,1
2c2h,Qd8c,51,48,1
2c2h,Qd7s,52,46,2
2c2h,Qd7d,49,50,1
2c2h,Qd7h,52,47,1
2c2h,Qd7c,52,47,1
2c2h,Qd6s,52,47,1
2c2h,Qd6d,49,50,1
2c2h,Qd6h,52,47,1
2c2h,Qd6c,52,47,1
2c2h,Qd5s,53,46,1
2c2h,Qd5d,50,49,1
2c2h,Qd5h,52,47,1
2c2h,Qd5c,52,47,1
2c2h,Qd4s,53,46,1
2c2h,Qd4d,50,49,1
2c2h,Qd4h,52,46,2
2c2h,Qd4c,53,46,1
2c2h,Qd3s,54,45,1
2c2h,Qd3d,50,49,1
2c2h,Qd3h,53,46,1
2c2h,Qd3c,53,45,2
2c2h,Qd2s,66,31,3
2c2h,Qd2d,62,36,2
2c2h,QsQc,18,82,0
2c2h,QsQh,18,82,0
2c2h,QsQd,19,81,0
2c2h,QsJc,49,50,1
2c2h,QsJh,49,50,1
2c2h,QsJd,50,49,1
2c2h,QsJs,47,52,1
2c2h,QsTc,49,50,1
2c2h,QsTh,49,50,1
2c2h,QsTd,49,50,1
2c2h,QsTs,46,53,1
2c2h,Qs9s,48,51,1
2c2h,Qs9c,50,49,1
2c2h,Qs9h,50,48,2
2c2h,Qs9d,50,49,1
2c2h,Qs8s,49,50,1
2c2h,Qs8d,52,47,1
2c2h,Qs8h,51,48,1
2c2h,Qs8c,51,48,1
2c2h,Qs7s,49,50,1
2c2h,Qs7d,52,47,1
2c2h,Qs7h,51,47,2
2c2h,Qs7c,52,47,1
2c2h,Qs6s,49,50,1
2c2h,Qs6d,52,46,2
2c2h,Qs6h,52,47,1
2c2h,Qs6c,52,47,1
2c2h,Qs5s,50,49,1
2c2h,Qs5d,53,46,1
2c2h,Qs5h,52,46,2
2c2h,Qs5c,52,47,1
2c2h,Qs4s,50,49,1
2c2h,Qs4d,53,46,1
2c2h,Qs4h,53,46,1
2c2h,Qs4c,52,46,2
2c2h,Qs3s,50,49,1
2c2h,Qs3d,53,45,2
2c2h,Qs3h,53,46,1
2c2h,Qs3c,53,46,1
2c2h,Qs2s,62,36,2
2c2h,Qs2d,66,32,2
2c2h,JcJh,17,82,1
2c2h,JcJd,18,81,1
2c2h,JcJs,18,82,0
2c2h,JcTc,46,53,1
2c2h,JcTh,47,52,1
2c2h,JcTd,47,51,2
2c2h,JcTs,47,51,2
2c2h,Jc9s,49,50,1
2c2h,Jc9c,47,52,1
2c2h,Jc9h,49,50,1
2c2h,Jc9d,49,49,2
2c2h,Jc8s,50,49,1
2c2h,Jc8d,50,49,1
2c2h,Jc8h,49,49,2
2c2h,Jc8c,48,51,1
2c2h,Jc7s,51,48,1
2c2h,Jc7d,51,48,1
2c2h,Jc7h,50,48,2
2c2h,Jc7c,48,50,2
2c2h,Jc6s,52,47,1
2c2h,Jc6d,52,47,1
2c2h,Jc6h,51,47,2
2c2h,Jc6c,49,49,2
2c2h,Jc5s,52,46,2
2c2h,Jc5d,52,47,1
2c2h,Jc5h,52,47,1
2c2h,Jc5c,50,49,1
2c2h,Jc4s,52,46,2
2c2h,Jc4d,52,46,2
2c2h,Jc4h,52,47,1
2c2h,Jc4c,50,49,1
2c2h,Jc3s,53,46,1
2c2h,Jc3d,53,46,1
2c2h,Jc3h,52,46,2
2c2h,Jc3c,50,48,2
2c2h,Jc2s,65,32,3
2c2h,Jc2d,65,32,3
2c2h,JhJc,17,82,1
2c2h,JhJd,18,82,0
2c2h,JhJs,18,82,0
2c2h,JhTc,48,51,1
2c2h,JhTh,46,53,1
2c2h,JhTd,48,51,1
2c2h,JhTs,48,51,1
2c2h,Jh9s,49,50,1
2c2h,Jh9c,48,50,2
2c2h,Jh9h,47,52,1
2c2h,Jh9d,49,50,1
2c2h,Jh8s,50,49,1
2c2h,Jh8d,50,49,1
2c2h,Jh8h,47,51,2
2c2h,Jh8c,49,49,2
2c2h,Jh7s,51,48,1
2c2h,Jh7d,50,48,2
2c2h,Jh7h,48,51,1
2c2h,Jh7c,50,48,2
2c2h,Jh6s,52,47,1
2c2h,Jh6d,52,47,1
2c2h,Jh6h,50,49,1
2c2h,Jh6c,52,47,1
2c2h,Jh5s,52,47,1
2c2h,Jh5d,52,46,2
2c2h,Jh5h,50,49,1
2c2h,Jh5c,52,47,1
2c2h,Jh4s,52,46,2
2c2h,Jh4d,52,46,2
2c2h,Jh4h,50,49,1
2c2h,Jh4c,52,47,1
2c2h,Jh3s,52,46,2
2c2h,Jh3d,53,46,1
2c2h,Jh3h,50,48,2
2c2h,Jh3c,52,46,2
2c2h,Jh2s,65,32,3
2c2h,Jh2d,65,32,3
2c2h,JdJc,18,82,0
2c2h,JdJh,18,82,0
2c2h,JdJs,19,81,0
2c2h,JdTc,48,51,1
2c2h,JdTh,47,51,2
2c2h,JdTd,45,53,2
2c2h,JdTs,48,51,1
2c2h,Jd9s,50,49,1
2c2h,Jd9c,49,50,1
2c2h,Jd9h,49,50,1
2c2h,Jd9d,46,52,2
2c2h,Jd8s,50,48,2
2c2h,Jd8d,47,51,2
2c2h,Jd8h,50,49,1
2c2h,Jd8c,50,49,1
2c2h,Jd7s,51,48,1
2c2h,Jd7d,48,51,1
2c2h,Jd7h,50,48,2
2c2h,Jd7c,51,48,1
2c2h,Jd6s,52,46,2
2c2h,Jd6d,49,49,2
2c2h,Jd6h,52,47,1
2c2h,Jd6c,52,47,1
2c2h,Jd5s,53,46,1
2c2h,Jd5d,49,49,2
2c2h,Jd5h,52,46,2
2c2h,Jd5c,52,47,1
2c2h,Jd4s,53,46,1
2c2h,Jd4d,49,49,2
2c2h,Jd4h,52,47,1
2c2h,Jd4c,52,46,2
2c2h,Jd3s,53,45,2
2c2h,Jd3d,50,49,1
2c2h,Jd3h,52,46,2
2c2h,Jd3c,52,46,2
2c2h,Jd2s,66,31,3
2c2h,Jd2d,62,36,2
2c2h,JsJc,18,82,0
2c2h,JsJh,18,82,0
2c2h,JsJd,18,81,1
2c2h,JsTc,48,51,1
2c2h,JsTh,48,51,1
2c2h,JsTd,48,51,1
2c2h,JsTs,45,53,2
2c2h,Js9s,46,52,2
2c2h,Js9c,49,50,1
2c2h,Js9h,49,50,1
2c2h,Js9d,50,49,1
2c2h,Js8s,48,51,1
2c2h,Js8d,50,49,1
2c2h,Js8h,50,49,1
2c2h,Js8c,50,49,1
2c2h,Js7s,48,51,1
2c2h,Js7d,51,48,1
2c2h,Js7h,51,48,1
2c2h,Js7c,50,48,2
2c2h,Js6s,49,50,1
2c2h,Js6d,52,46,2
2c2h,Js6h,52,47,1
2c2h,Js6c,52,47,1
2c2h,Js5s,49,49,2
2c2h,Js5d,53,46,1
2c2h,Js5h,52,46,2
2c2h,Js5c,52,47,1
2c2h,Js4s,50,49,1
2c2h,Js4d,53,46,1
2c2h,Js4h,52,46,2
2c2h,Js4c,52,46,2
2c2h,Js3s,50,49,1
2c2h,Js3d,53,46,1
2c2h,Js3h,53,46,1
2c2h,Js3c,53,46,1
2c2h,Js2s,61,36,3
2c2h,Js2d,65,32,3
2c2h,TcTh,17,82,1
2c2h,TcTd,18,82,0
2c2h,TcTs,18,82,0
2c2h,Tc9s,48,50,2
2c2h,Tc9c,46,53,1
2c2h,Tc9h,47,51,2
2c2h,Tc9d,48,50,2
2c2h,Tc8s,48,50,2
2c2h,Tc8d,49,50,1
2c2h,Tc8h,48,50,2
2c2h,Tc8c,46,52,2
2c2h,Tc7s,49,49,2
2c2h,Tc7d,49,49,2
2c2h,Tc7h,49,49,2
2c2h,Tc7c,47,51,2
2c2h,Tc6s,51,47,2
2c2h,Tc6d,50,48,2
2c2h,Tc6h,50,48,2
2c2h,Tc6c,48,50,2
2c2h,Tc5s,52,46,2
2c2h,Tc5d,52,46,2
2c2h,Tc5h,51,47,2
2c2h,Tc5c,50,48,2
2c2h,Tc4s,52,46,2
2c2h,Tc4d,52,46,2
2c2h,Tc4h,51,47,2
2c2h,Tc4c,50,49,1
2c2h,Tc3s,52,46,2
2c2h,Tc3d,52,46,2
2c2h,Tc3h,52,46,2
2c2h,Tc3c,50,48,2
2c2h,Tc2s,65,31,4
2c2h,Tc2d,64,32,4
2c2h,ThTc,17,82,1
2c2h,ThTd,18,82,0
2c2h,ThTs,18,82,0
2c2h,Th9s,48,50,2
2c2h,Th9c,47,51,2
2c2h,Th9h,46,53,1
2c2h,Th9d,47,51,2
2c2h,Th8s,49,50,1
2c2h,Th8d,49,50,1
2c2h,Th8h,47,52,1
2c2h,Th8c,48,50,2
2c2h,Th7s,49,49,2
2c2h,Th7d,49,49,2
2c2h,Th7h,47,51,2
2c2h,Th7c,49,49,2
2c2h,Th6s,51,48,1
2c2h,Th6d,51,48,1
2c2h,Th6h,48,50,2
2c2h,Th6c,50,48,2
2c2h,Th5s,52,46,2
2c2h,Th5d,52,46,2
2c2h,Th5h,50,49,1
2c2h,Th5c,51,47,2
2c2h,Th4s,52,46,2
2c2h,Th4d,52,46,2
2c2h,Th4h,50,49,1
2c2h,Th4c,51,47,2
2c2h,Th3s,52,46,2
2c2h,Th3d,52,46,2
2c2h,Th3h,50,49,1
2c2h,Th3c,52,46,2
2c2h,Th2s,65,32,3
2c2h,Th2d,65,32,3
2c2h,TdTc,18,82,0
2c2h,TdTh,18,82,0
2c2h,TdTs,19,81,0
2c2h,Td9s,48,50,2
2c2h,Td9c,48,51,1
2c2h,Td9h,48,50,2
2c2h,Td9d,45,53,2
2c2h,Td8s,49,49,2
2c2h,Td8d,46,52,2
2c2h,Td8h,48,50,2
2c2h,Td8c,48,50,2
2c2h,Td7s,50,48,2
2c2h,Td7d,47,51,2
2c2h,Td7h,49,49,2
2c2h,Td7c,49,49,2
2c2h,Td6s,51,47,2
2c2h,Td6d,48,50,2
2c2h,Td6h,51,47,2
2c2h,Td6c,51,48,1
2c2h,Td5s,52,46,2
2c2h,Td5d,49,49,2
2c2h,Td5h,52,46,2
2c2h,Td5c,52,46,2
2c2h,Td4s,52,46,2
2c2h,Td4d,49,49,2
2c2h,Td4h,52,46,2
2c2h,Td4c,52,46,2
2c2h,Td3s,52,46,2
2c2h,Td3d,49,49,2
2c2h,Td3h,52,46,2
2c2h,Td3c,52,46,2
2c2h,Td2s,65,31,4
2c2h,Td2d,61,36,3
2c2h,TsTc,18,82,0
2c2h,TsTh,18,81,1
2c2h,TsTd,18,81,1
2c2h,Ts9s,45,53,2
2c2h,Ts9c,48,51,1
2c2h,Ts9h,48,51,1
2c2h,Ts9d,48,50,2
2c2h,Ts8s,46,52,2
2c2h,Ts8d,49,49,2
2c2h,Ts8h,49,49,2
2c2h,Ts8c,49,49,2
2c2h,Ts7s,47,51,2
2c2h,Ts7d,50,49,1
2c2h,Ts7h,49,49,2
2c2h,Ts7c,50,49,1
2c2h,Ts6s,48,50,2
2c2h,Ts6d,51,47,2
2c2h,Ts6h,51,48,1
2c2h,Ts6c,50,48,2
2c2h,Ts5s,49,49,2
2c2h,Ts5d,52,46,2
2c2h,Ts5h,52,46,2
2c2h,Ts5c,52,46,2
2c2h,Ts4s,49,49,2
2c2h,Ts4d,52,46,2
2c2h,Ts4h,52,46,2
2c2h,Ts4c,52,46,2
2c2h,Ts3s,49,49,2
2c2h,Ts3d,53,45,2
2c2h,Ts3h,52,46,2
2c2h,Ts3c,52,46,2
2c2h,Ts2s,61,36,3
2c2h,Ts2d,65,32,3
2c2h,9s9c,18,81,1
2c2h,9s9h,18,81,1
2c2h,9s9d,19,81,0
2c2h,9s8s,46,52,2
2c2h,9s8d,48,50,2
2c2h,9s8h,48,50,2
2c2h,9s8c,48,50,2
2c2h,9s7s,46,52,2
2c2h,9s7d,49,49,2
2c2h,9s7h,48,49,3
2c2h,9s7c,49,49,2
2c2h,9s6s,47,51,2
2c2h,9s6d,50,48,2
2c2h,9s6h,50,48,2
2c2h,9s6c,50,48,2
2c2h,9s5s,49,49,2
2c2h,9s5d,52,46,2
2c2h,9s5h,51,47,2
2c2h,9s5c,51,47,2
2c2h,9s4s,50,48,2
2c2h,9s4d,52,45,3
2c2h,9s4h,52,46,2
2c2h,9s4c,52,46,2
2c2h,9s3s,50,48,2
2c2h,9s3d,53,45,2
2c2h,9s3h,52,46,2
2c2h,9s3c,52,45,3
2c2h,9s2s,61,35,4
2c2h,9s2d,65,31,4
2c2h,9c9s,18,82,0
2c2h,9c9h,17,82,1
2c2h,9c9d,18,81,1
2c2h,9c8s,48,50,2
2c2h,9c8d,48,50,2
2c2h,9c8h,47,51,2
2c2h,9c8c,46,52,2
2c2h,9c7s,49,49,2
2c2h,9c7d,48,50,2
2c2h,9c7h,48,50,2
2c2h,9c7c,46,52,2
2c2h,9c6s,50,48,2
2c2h,9c6d,50,48,2
2c2h,9c6h,49,48,3
2c2h,9c6c,48,50,2
2c2h,9c5s,51,47,2
2c2h,9c5d,51,47,2
2c2h,9c5h,51,47,2
2c2h,9c5c,49,49,2
2c2h,9c4s,52,45,3
2c2h,9c4d,52,46,2
2c2h,9c4h,52,46,2
2c2h,9c4c,50,48,2
2c2h,9c3s,52,46,2
2c2h,9c3d,52,45,3
2c2h,9c3h,52,46,2
2c2h,9c3c,50,48,2
2c2h,9c2s,65,31,4
2c2h,9c2d,65,32,3
2c2h,9h9s,18,81,1
2c2h,9h9c,17,82,1
2c2h,9h9d,18,81,1
2c2h,9h8s,48,50,2
2c2h,9h8d,48,50,2
2c2h,9h8h,46,52,2
2c2h,9h8c,47,51,2
2c2h,9h7s,49,49,2
2c2h,9h7d,48,50,2
2c2h,9h7h,47,51,2
2c2h,9h7c,48,50,2
2c2h,9h6s,50,48,2
