undefinedin,victory_percentage,loose_percentage,split_percentage
2c2d,Ac3h,53,47,0
2c2d,Ac3c,50,49,1
2c2d,Ac2s,65,33,2
2c2d,Ac2h,65,33,2
2c2d,AhAc,17,82,1
2c2d,AhAd,18,82,0
2c2d,AhAs,18,81,1
2c2d,AhKc,52,47,1
2c2d,AhKh,50,50,0
2c2d,AhKd,52,47,1
2c2d,AhKs,53,47,0
2c2d,AhQc,52,47,1
2c2d,AhQh,50,50,0
2c2d,AhQd,52,47,1
2c2d,AhQs,53,47,0
2c2d,AhJc,51,48,1
2c2d,AhJh,49,50,1
2c2d,AhJd,51,48,1
2c2d,AhJs,52,47,1
2c2d,AhTc,51,48,1
2c2d,AhTh,49,51,0
2c2d,AhTd,51,48,1
2c2d,AhTs,52,48,0
2c2d,Ah9s,53,46,1
2c2d,Ah9c,53,47,0
2c2d,Ah9h,50,49,1
2c2d,Ah9d,53,47,0
2c2d,Ah8s,53,47,0
2c2d,Ah8d,52,47,1
2c2d,Ah8h,50,49,1
2c2d,Ah8c,52,47,1
2c2d,Ah7s,52,47,1
2c2d,Ah7d,52,48,0
2c2d,Ah7h,49,50,1
2c2d,Ah7c,52,47,1
2c2d,Ah6s,53,46,1
2c2d,Ah6d,53,47,0
2c2d,Ah6h,50,49,1
2c2d,Ah6c,53,47,0
2c2d,Ah5s,52,47,1
2c2d,Ah5d,52,47,1
2c2d,Ah5h,50,50,0
2c2d,Ah5c,52,47,1
2c2d,Ah4s,53,47,0
2c2d,Ah4d,53,47,0
2c2d,Ah4h,50,50,0
2c2d,Ah4c,52,47,1
2c2d,Ah3s,53,46,1
2c2d,Ah3d,53,46,1
2c2d,Ah3h,50,49,1
2c2d,Ah3c,53,46,1
2c2d,Ah2s,65,33,2
2c2d,Ah2h,61,37,2
2c2d,AdAc,17,83,0
2c2d,AdAh,18,82,0
2c2d,AdAs,18,82,0
2c2d,AdKc,52,47,1
2c2d,AdKh,52,47,1
2c2d,AdKd,50,49,1
2c2d,AdKs,52,47,1
2c2d,AdQc,51,48,1
2c2d,AdQh,52,47,1
2c2d,AdQd,49,50,1
2c2d,AdQs,52,47,1
2c2d,AdJc,51,48,1
2c2d,AdJh,52,48,0
2c2d,AdJd,49,50,1
2c2d,AdJs,52,48,0
2c2d,AdTc,51,48,1
2c2d,AdTh,51,48,1
2c2d,AdTd,49,50,1
2c2d,AdTs,52,48,0
2c2d,Ad9s,53,47,0
2c2d,Ad9c,52,47,1
2c2d,Ad9h,53,47,0
2c2d,Ad9d,50,49,1
2c2d,Ad8s,52,48,0
2c2d,Ad8d,50,50,0
2c2d,Ad8h,52,47,1
2c2d,Ad8c,52,48,0
2c2d,Ad7s,52,47,1
2c2d,Ad7d,50,49,1
2c2d,Ad7h,52,47,1
2c2d,Ad7c,52,48,0
2c2d,Ad6s,53,46,1
2c2d,Ad6d,51,49,0
2c2d,Ad6h,53,47,0
2c2d,Ad6c,53,47,0
2c2d,Ad5s,52,47,1
2c2d,Ad5d,50,50,0
2c2d,Ad5h,52,47,1
2c2d,Ad5c,52,47,1
2c2d,Ad4s,52,47,1
2c2d,Ad4d,50,49,1
2c2d,Ad4h,53,47,0
2c2d,Ad4c,52,47,1
2c2d,Ad3s,53,46,1
2c2d,Ad3d,50,49,1
2c2d,Ad3h,53,46,1
